1783499626.083799 server started (988184): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1783499626.083836 on Linux 6.18.35.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Wed Jun 17 23:14:00 UTC 2026
1783499626.083849 using libevent 2.1.12-stable poll
1783499626.083852 using ncurses 6.4 20240113
1783499626.084730 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1783499626.084733 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1783499626.084735 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1783499626.084738 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1783499626.084741 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1783499626.084743 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1783499626.084746 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1783499626.084750 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1783499626.084752 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1783499626.084755 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1783499626.084758 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1783499626.084761 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1783499626.084765 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1783499626.084767 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1783499626.084770 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1783499626.084773 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1783499626.084776 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1783499626.084811 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1783499626.084817 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1783499626.084821 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1783499626.084825 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1783499626.084831 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1783499626.084834 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1783499626.084837 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1783499626.084840 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1783499626.084843 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1783499626.084846 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1783499626.084848 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1783499626.084852 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1783499626.084855 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1783499626.084858 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1783499626.084861 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1783499626.084864 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1783499626.084867 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1783499626.084870 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1783499626.084873 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1783499626.084876 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1783499626.084878 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1783499626.084881 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1783499626.084884 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1783499626.084887 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1783499626.084890 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
1783499626.084893 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1783499626.084896 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1783499626.084899 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1783499626.084903 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1783499626.084906 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1783499626.084909 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1783499626.084912 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1783499626.084915 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1783499626.084923 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
1783499626.084926 input_key_build: 0x850000010e195 (M-S-F1[I]) is \033[1;4P
1783499626.084929 input_key_build: 0x850000010e196 (M-S-F2[I]) is \033[1;4Q
1783499626.084932 input_key_build: 0x850000010e197 (M-S-F3[I]) is \033[1;4R
1783499626.084935 input_key_build: 0x850000010e198 (M-S-F4[I]) is \033[1;4S
1783499626.084938 input_key_build: 0x850000010e199 (M-S-F5[I]) is \033[15;4~
1783499626.084941 input_key_build: 0x850000010e19a (M-S-F6[I]) is \033[17;4~
1783499626.084944 input_key_build: 0x850000010e19b (M-S-F7[I]) is \033[18;4~
1783499626.084947 input_key_build: 0x850000010e19c (M-S-F8[I]) is \033[19;4~
1783499626.084950 input_key_build: 0x850000010e19d (M-S-F9[I]) is \033[20;4~
1783499626.084953 input_key_build: 0x850000010e19e (M-S-F10[I]) is \033[21;4~
1783499626.084956 input_key_build: 0x850000010e19f (M-S-F11[I]) is \033[23;4~
1783499626.084959 input_key_build: 0x850000010e1a0 (M-S-F12[I]) is \033[24;4~
1783499626.084962 input_key_build: 0x850000010e1a1 (M-S-IC[I]) is \033[2;4~
1783499626.084965 input_key_build: 0x850000010e1a2 (M-S-DC[I]) is \033[3;4~
1783499626.084968 input_key_build: 0x850000010e1a3 (M-S-Home[I]) is \033[1;4H
1783499626.084971 input_key_build: 0x850000010e1a4 (M-S-End[I]) is \033[1;4F
1783499626.084974 input_key_build: 0x850000010e1a5 (M-S-NPage[I]) is \033[6;4~
1783499626.084977 input_key_build: 0x850000010e1a6 (M-S-PPage[I]) is \033[5;4~
1783499626.084980 input_key_build: 0x850000010e1a8 (M-S-Up[I]) is \033[1;4A
1783499626.084984 input_key_build: 0x850000010e1a9 (M-S-Down[I]) is \033[1;4B
1783499626.084987 input_key_build: 0x850000010e1aa (M-S-Left[I]) is \033[1;4D
1783499626.084990 input_key_build: 0x850000010e1ab (M-S-Right[I]) is \033[1;4C
1783499626.084993 input_key_build: 0x870000010e195 (C-M-S-F1[I]) is \033[1;8P
1783499626.084996 input_key_build: 0x870000010e196 (C-M-S-F2[I]) is \033[1;8Q
1783499626.084999 input_key_build: 0x870000010e197 (C-M-S-F3[I]) is \033[1;8R
1783499626.085004 input_key_build: 0x870000010e198 (C-M-S-F4[I]) is \033[1;8S
1783499626.085008 input_key_build: 0x870000010e199 (C-M-S-F5[I]) is \033[15;8~
1783499626.085011 input_key_build: 0x870000010e19a (C-M-S-F6[I]) is \033[17;8~
1783499626.085014 input_key_build: 0x870000010e19b (C-M-S-F7[I]) is \033[18;8~
1783499626.085017 input_key_build: 0x870000010e19c (C-M-S-F8[I]) is \033[19;8~
1783499626.085020 input_key_build: 0x870000010e19d (C-M-S-F9[I]) is \033[20;8~
1783499626.085023 input_key_build: 0x870000010e19e (C-M-S-F10[I]) is \033[21;8~
1783499626.085026 input_key_build: 0x870000010e19f (C-M-S-F11[I]) is \033[23;8~
1783499626.085029 input_key_build: 0x870000010e1a0 (C-M-S-F12[I]) is \033[24;8~
1783499626.085031 input_key_build: 0x870000010e1a1 (C-M-S-IC[I]) is \033[2;8~
1783499626.085035 input_key_build: 0x870000010e1a2 (C-M-S-DC[I]) is \033[3;8~
1783499626.085037 input_key_build: 0x870000010e1a3 (C-M-S-Home[I]) is \033[1;8H
1783499626.085040 input_key_build: 0x870000010e1a4 (C-M-S-End[I]) is \033[1;8F
1783499626.085043 input_key_build: 0x870000010e1a5 (C-M-S-NPage[I]) is \033[6;8~
1783499626.085046 input_key_build: 0x870000010e1a6 (C-M-S-PPage[I]) is \033[5;8~
1783499626.085049 input_key_build: 0x870000010e1a8 (C-M-S-Up[I]) is \033[1;8A
1783499626.085052 input_key_build: 0x870000010e1a9 (C-M-S-Down[I]) is \033[1;8B
1783499626.085055 input_key_build: 0x870000010e1aa (C-M-S-Left[I]) is \033[1;8D
1783499626.085058 input_key_build: 0x870000010e1ab (C-M-S-Right[I]) is \033[1;8C
1783499626.085061 input_key_build: 0x40200000000009 (C-Tab[E]) is \033[9;5u
1783499626.085065 input_key_build: 0x40600000000009 (C-S-Tab[E]) is \033[1;5Z
1783499626.085434 yylex_token: end at WS
1783499626.085446 yylex_token: bind
1783499626.085497 yylex_token: end at WS
1783499626.085502 yylex_token: -N
1783499626.085507 yylex_token: end at WS
1783499626.085510 yylex_token: Send the prefix key
1783499626.085513 yylex_token: end at WS
1783499626.085515 yylex_token: C-b
1783499626.085518 yylex_token: end at WS
1783499626.085520 yylex_token: send-prefix
1783499626.085632 cmd_parse_build_commands 0:0: bind
1783499626.085646 cmd_parse_build_commands 0:1: -N
1783499626.085650 cmd_parse_build_commands 0:2: Send the prefix key
1783499626.085654 cmd_parse_build_commands 0:3: C-b
1783499626.085658 cmd_parse_build_commands 0:4 0:0: send-prefix
1783499626.085732 cmd_parse_build_commands 0:0: send-prefix
1783499626.085747 args_parse: flags end at 1 of 1
1783499626.085827 cmd_parse_build_commands: send-prefix
1783499626.085832 args_parse_flags: next -N
1783499626.085836 args_parse_flag_argument: -N = Send the prefix key
1783499626.085880 args_parse_flags: next C-b
1783499626.085885 args_parse: flags end at 3 of 5
1783499626.085889 args_parse: 3 = C-b (type STRING)
1783499626.085895 args_parse: 4 = send-prefix (type COMMANDS)
1783499626.085995 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1783499626.086045 cmdq_get_command: [bind-key/0x58e4724b71a0] group 2
1783499626.086080 cmdq_append <global>: [bind-key/0x58e4724b71a0]
1783499626.086086 yylex_token: end at WS
1783499626.086089 yylex_token: bind
1783499626.086094 yylex_token: end at WS
1783499626.086096 yylex_token: -N
1783499626.086101 yylex_token: end at WS
1783499626.086104 yylex_token: Rotate through the panes
1783499626.086107 yylex_token: end at WS
1783499626.086109 yylex_token: C-o
1783499626.086113 yylex_token: end at WS
1783499626.086115 yylex_token: rotate-window
1783499626.086121 cmd_parse_build_commands 0:0: bind
1783499626.086125 cmd_parse_build_commands 0:1: -N
1783499626.086128 cmd_parse_build_commands 0:2: Rotate through the panes
1783499626.086131 cmd_parse_build_commands 0:3: C-o
1783499626.086134 cmd_parse_build_commands 0:4 0:0: rotate-window
1783499626.086142 cmd_parse_build_commands 0:0: rotate-window
1783499626.086149 args_parse: flags end at 1 of 1
1783499626.086153 cmd_parse_build_commands: rotate-window
1783499626.086156 args_parse_flags: next -N
1783499626.086160 args_parse_flag_argument: -N = Rotate through the panes
1783499626.086163 args_parse_flags: next C-o
1783499626.086166 args_parse: flags end at 3 of 5
1783499626.086169 args_parse: 3 = C-o (type STRING)
1783499626.086173 args_parse: 4 = rotate-window (type COMMANDS)
1783499626.086184 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1783499626.086191 cmdq_get_command: [bind-key/0x58e4724b7500] group 10
1783499626.086194 cmdq_append <global>: [bind-key/0x58e4724b7500]
1783499626.086203 yylex_token: end at WS
1783499626.086205 yylex_token: bind
1783499626.086207 yylex_token: end at WS
1783499626.086209 yylex_token: -N
1783499626.086213 yylex_token: end at WS
1783499626.086216 yylex_token: Suspend the current client
1783499626.086220 yylex_token: end at WS
1783499626.086223 yylex_token: C-z
1783499626.086227 yylex_token: end at WS
1783499626.086230 yylex_token: suspend-client
1783499626.086234 cmd_parse_build_commands 0:0: bind
1783499626.086237 cmd_parse_build_commands 0:1: -N
1783499626.086240 cmd_parse_build_commands 0:2: Suspend the current client
1783499626.086243 cmd_parse_build_commands 0:3: C-z
1783499626.086247 cmd_parse_build_commands 0:4 0:0: suspend-client
1783499626.086251 cmd_parse_build_commands 0:0: suspend-client
1783499626.086259 args_parse: flags end at 1 of 1
1783499626.086262 cmd_parse_build_commands: suspend-client
1783499626.086265 args_parse_flags: next -N
1783499626.086268 args_parse_flag_argument: -N = Suspend the current client
1783499626.086270 args_parse_flags: next C-z
1783499626.086273 args_parse: flags end at 3 of 5
1783499626.086276 args_parse: 3 = C-z (type STRING)
1783499626.086279 args_parse: 4 = suspend-client (type COMMANDS)
1783499626.086289 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1783499626.086294 cmdq_get_command: [bind-key/0x58e4724b7ba0] group 18
1783499626.086297 cmdq_append <global>: [bind-key/0x58e4724b7ba0]
1783499626.086300 yylex_token: end at WS
1783499626.086302 yylex_token: bind
1783499626.086304 yylex_token: end at WS
1783499626.086306 yylex_token: -N
1783499626.086310 yylex_token: end at WS
1783499626.086319 yylex_token: Select next layout
1783499626.086322 yylex_token: end at WS
1783499626.086324 yylex_token: Space
1783499626.086327 yylex_token: end at WS
1783499626.086329 yylex_token: next-layout
1783499626.086332 cmd_parse_build_commands 0:0: bind
1783499626.086335 cmd_parse_build_commands 0:1: -N
1783499626.086338 cmd_parse_build_commands 0:2: Select next layout
1783499626.086341 cmd_parse_build_commands 0:3: Space
1783499626.086344 cmd_parse_build_commands 0:4 0:0: next-layout
1783499626.086347 cmd_parse_build_commands 0:0: next-layout
1783499626.086353 args_parse: flags end at 1 of 1
1783499626.086356 cmd_parse_build_commands: next-layout
1783499626.086359 args_parse_flags: next -N
1783499626.086362 args_parse_flag_argument: -N = Select next layout
1783499626.086365 args_parse_flags: next Space
1783499626.086367 args_parse: flags end at 3 of 5
1783499626.086370 args_parse: 3 = Space (type STRING)
1783499626.086373 args_parse: 4 = next-layout (type COMMANDS)
1783499626.086381 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1783499626.086386 cmdq_get_command: [bind-key/0x58e4724b8150] group 26
1783499626.086389 cmdq_append <global>: [bind-key/0x58e4724b8150]
1783499626.086392 yylex_token: end at WS
1783499626.086394 yylex_token: bind
1783499626.086396 yylex_token: end at WS
1783499626.086399 yylex_token: -N
1783499626.086402 yylex_token: end at WS
1783499626.086405 yylex_token: Break pane to a new window
1783499626.086407 yylex_token: end at WS
1783499626.086409 yylex_token: !
1783499626.086412 yylex_token: end at WS
1783499626.086414 yylex_token: break-pane
1783499626.086418 cmd_parse_build_commands 0:0: bind
1783499626.086421 cmd_parse_build_commands 0:1: -N
1783499626.086424 cmd_parse_build_commands 0:2: Break pane to a new window
1783499626.086426 cmd_parse_build_commands 0:3: !
1783499626.086429 cmd_parse_build_commands 0:4 0:0: break-pane
1783499626.086433 cmd_parse_build_commands 0:0: break-pane
1783499626.086436 args_parse: flags end at 1 of 1
1783499626.086440 cmd_parse_build_commands: break-pane
1783499626.086442 args_parse_flags: next -N
1783499626.086446 args_parse_flag_argument: -N = Break pane to a new window
1783499626.086448 args_parse_flags: next !
1783499626.086451 args_parse: flags end at 3 of 5
1783499626.086453 args_parse: 3 = ! (type STRING)
1783499626.086456 args_parse: 4 = break-pane (type COMMANDS)
1783499626.086465 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1783499626.086470 cmdq_get_command: [bind-key/0x58e4724b8670] group 34
1783499626.086473 cmdq_append <global>: [bind-key/0x58e4724b8670]
1783499626.086479 yylex_token: end at WS
1783499626.086482 yylex_token: bind
1783499626.086484 yylex_token: end at WS
1783499626.086486 yylex_token: -N
1783499626.086490 yylex_token: end at WS
1783499626.086492 yylex_token: Split window vertically
1783499626.086495 yylex_token: end at WS
1783499626.086498 yylex_token: "
1783499626.086511 yylex_token: end at WS
1783499626.086514 yylex_token: split-window
1783499626.086518 cmd_parse_build_commands 0:0: bind
1783499626.086522 cmd_parse_build_commands 0:1: -N
1783499626.086526 cmd_parse_build_commands 0:2: Split window vertically
1783499626.086529 cmd_parse_build_commands 0:3: "
1783499626.086532 cmd_parse_build_commands 0:4 0:0: split-window
1783499626.086537 cmd_parse_build_commands 0:0: split-window
1783499626.086543 args_parse: flags end at 1 of 1
1783499626.086546 cmd_parse_build_commands: split-window
1783499626.086549 args_parse_flags: next -N
1783499626.086552 args_parse_flag_argument: -N = Split window vertically
1783499626.086555 args_parse_flags: next "
1783499626.086558 args_parse: flags end at 3 of 5
1783499626.086560 args_parse: 3 = " (type STRING)
1783499626.086564 args_parse: 4 = split-window (type COMMANDS)
1783499626.086572 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1783499626.086577 cmdq_get_command: [bind-key/0x58e4724b8cb0] group 42
1783499626.086581 cmdq_append <global>: [bind-key/0x58e4724b8cb0]
1783499626.086584 yylex_token: end at WS
1783499626.086592 yylex_token: bind
1783499626.086594 yylex_token: end at WS
1783499626.086597 yylex_token: -N
1783499626.086600 yylex_token: end at WS
1783499626.086603 yylex_token: List all paste buffers
1783499626.086605 yylex_token: end at WS
1783499626.086607 yylex_token: #
1783499626.086610 yylex_token: end at WS
1783499626.086612 yylex_token: list-buffers
1783499626.086617 cmd_parse_build_commands 0:0: bind
1783499626.086619 cmd_parse_build_commands 0:1: -N
1783499626.086622 cmd_parse_build_commands 0:2: List all paste buffers
1783499626.086625 cmd_parse_build_commands 0:3: #
1783499626.086628 cmd_parse_build_commands 0:4 0:0: list-buffers
1783499626.086632 cmd_parse_build_commands 0:0: list-buffers
1783499626.086636 args_parse: flags end at 1 of 1
1783499626.086639 cmd_parse_build_commands: list-buffers
1783499626.086642 args_parse_flags: next -N
1783499626.086645 args_parse_flag_argument: -N = List all paste buffers
1783499626.086647 args_parse_flags: next #
1783499626.086650 args_parse: flags end at 3 of 5
1783499626.086652 args_parse: 3 = # (type STRING)
1783499626.086655 args_parse: 4 = list-buffers (type COMMANDS)
1783499626.086664 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1783499626.086669 cmdq_get_command: [bind-key/0x58e4724b92e0] group 50
1783499626.086672 cmdq_append <global>: [bind-key/0x58e4724b92e0]
1783499626.086679 yylex_token: end at WS
1783499626.086681 yylex_token: bind
1783499626.086684 yylex_token: end at WS
1783499626.086686 yylex_token: -N
1783499626.086690 yylex_token: end at WS
1783499626.086692 yylex_token: Rename current session
1783499626.086695 yylex_token: end at WS
